ALP2 - ELV - BOQ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,
,,,,,, BASE COST ,,100%, SUBMISSION ,, SKK ,,, NSI ,,, WINCOMM ,,, ACMALITE ,,, BASTION ,,
ITEM,,DESCRIPTION,,UNIT,QTY," RATE 
(RM) "," AMOUNT 
(RM) ",," RATE 
(RM) "," AMOUNT 
(RM) "," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK 
03.01.11,,"To supply and install CCTV signal cabling 2C outdoor armoured single mode fibre optic from Main CCTV Rack to switches at media converters in trunking / PVC Class D / HDPE Duct encased in concrete at road crossing c/w termination   and   etc   for   complete installation. 
",,Lot,43,, -   ,100%, -   , -   ," 5,621.20 "," 241,711.60 ",," 3,000.00 "," 129,000.00 ",," 60,000.00 "," 60,000.00 ", 1LOT ," 1,000.00 "," 43,000.00 ",," 13,000.00 "," 559,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.12,,"To supply and install Cat6 Cables from media converter/ network switch to CCTV c/w termination   and   etc   for   complete installation
",,Lot,78,, -   ,100%, -   , -   , 500.40 ," 39,031.20 ",, 600.00 ," 46,800.00 ",," 70,000.00 "," 70,000.00 ", 1LOT , 600.00 ," 46,800.00 ",," 1,200.00 "," 93,600.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.13,,Dome camera stairs,,Lot,29,, -   ,100%, -   , -   , 500.40 ," 14,511.60 ",, 650.00 ," 18,850.00 ",, refer 03.01.07 , refer 03.01.08 ,, 600.00 ," 17,400.00 ",," 1,200.00 "," 34,800.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.14,,To supply and install complete earthing system for CCTV system and other necessary accessories. ,,Lot,Rate Only,, Rate only ,,, Rate only , -   , Rate only ,,, Rate only ,," 1,500.00 ", Rate only ,," 2,000.00 ", Rate only ,,, Rate only ,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.15,,Testing & Commissioning of the whole CCTV system,,Lot,1,, -   ,100%, -   , -   ," 3,669.90 "," 3,669.90 ",," 8,000.00 "," 8,000.00 ",," 8,000.00 "," 8,000.00 ",," 4,000.00 "," 4,000.00 ",," 10,000.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.16,,To Supply CCTV Console Table c/w 2 Swivel Chairs (Located at Control Room).,,No,1,, -   ,100%, -   , -   , 421.10 , 421.10 ,," 1,000.00 "," 1,000.00 ",," 5,000.00 "," 5,000.00 ",," 2,800.00 "," 2,800.00 ",," 10,000.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.17,,Lightning power surge protection for all external CCTV (External and Roof),,No,29,, -   ,100%, -   , -   , 83.20 ," 2,412.80 ",," 1,400.00 "," 40,600.00 ",, 150.00 ," 4,350.00 ",, 600.00 ," 17,400.00 ",," 1,000.00 "," 29,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.00,,"Barrier Gate
To supply, delivery, installation, testing and commissioning of Barrier Gate System Equipment etc. in accordance with specification and drawings.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
